Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:31.463,00:00:30.00,0.06,--,--,0:09:15  ,0:08:49  ,0:06:08  ,182.65625,226.0,95.18500522021206,131.0,146.0,--,5
2,00:01:00.745,00:00:21.00,0.03,--,--,0:30:10  ,0:10:26  ,0:04:20  ,38.765625,215.0,137.56478454512316,116.0,147.0,--,9
3,00:00:30.58,00:00:29.00,0.07,--,17,0:07:01  ,0:06:46  ,0:03:48  ,180.96875,222.0,126.61688789926444,123.0,173.0,--,3
4,00:00:46.56,00:00:15.00,0.03,--,--,0:23:47  ,0:07:44  ,0:03:58  ,58.4375,220.0,115.83573075306066,171.0,178.0,--,11
5,00:00:30.58,00:00:30.00,0.05,--,--,0:09:10  ,0:09:09  ,0:05:27  ,137.546875,217.0,127.6514200381728,159.0,189.0,--,7
6,00:00:31.375,00:00:20.00,0.04,--,--,0:12:23  ,0:07:53  ,0:03:14  ,87.0,217.0,149.3172145738168,189.0,192.0,--,9
7,00:00:30.971,00:00:25.00,0.05,--,--,0:09:48  ,0:07:54  ,0:06:49  ,100.734375,214.0,163.0273550021177,198.0,211.0,--,9
8,00:00:22.259,00:00:15.00,0.03,--,--,0:12:00  ,0:08:05  ,0:04:14  ,68.09375,214.0,196.7013400189498,209.0,213.0,--,6
9,00:00:31.774,00:00:27.00,0.05,--,--,0:10:00  ,0:08:30  ,0:03:46  ,190.34375,221.0,84.46453168084888,205.0,209.0,--,9
10,00:09:29.612,00:06:53.00,0.37,43,21,0:25:41  ,0:18:37  ,0:04:09  ,53.421875,210.0,117.30365674782817,133.0,209.0,--,92
11,00:00:29.696,00:00:21.00,0.04,--,7,0:11:14  ,0:07:57  ,0:06:26  ,171.203125,228.0,83.62627888169872,139.0,154.0,--,4
12,00:01:00.161,00:00:34.00,0.03,--,--,0:37:40  ,0:21:17  ,0:04:13  ,46.390625,218.0,92.07761852843466,196.0,211.0,--,17
13,00:00:30.598,00:00:29.00,0.06,--,12,0:08:37  ,0:08:10  ,0:03:31  ,188.328125,228.0,99.17632649492145,204.0,218.0,--,9
14,00:00:46.338,00:00:17.00,0.03,--,--,0:24:39  ,0:09:02  ,0:04:17  ,52.609375,197.0,124.09481518856175,195.0,216.0,--,13
15,00:00:30.865,00:00:29.00,0.07,--,--,0:07:41  ,0:07:13  ,0:03:41  ,187.84375,223.0,111.40437922365003,186.0,194.0,--,8
16,00:00:31.311,00:00:22.00,0.04,--,--,0:11:46  ,0:08:16  ,0:03:57  ,87.03125,213.0,157.098865129744,189.0,195.0,--,9
17,00:00:32.472,00:00:30.00,0.06,--,--,0:09:35  ,0:08:51  ,0:05:48  ,158.671875,219.0,105.76056269395315,185.0,191.0,--,9
18,00:10:39.657,00:05:15.00,0.28,16,--,0:38:39  ,0:19:02  ,0:04:09  ,46.25,219.0,89.98539167441491,132.0,192.0,--,88
19,00:00:31.476,00:00:28.00,0.09,--,16,0:06:07  ,0:05:27  ,0:04:01  ,175.15625,215.0,149.9233211362684,142.0,163.0,--,4
20,00:01:00.971,00:00:11.00,0.03,7,--,0:32:55  ,0:05:56  ,0:03:42  ,36.03125,214.0,135.65716679382604,125.0,167.0,--,9
21,00:00:33.608,00:00:27.00,0.1,--,--,0:05:53  ,0:04:44  ,0:03:48  ,164.90625,231.0,165.55249415331423,132.0,168.0,--,3
22,00:00:39.680,00:00:22.00,0.01,--,--,0:44:56  ,0:24:55  ,0:03:23  ,37.890625,206.0,94.49950165502395,156.0,170.0,--,9
23,00:00:31.228,00:00:31.00,0.07,--,--,0:06:58  ,0:06:55  ,0:03:38  ,184.59375,222.0,124.9129663214996,156.0,168.0,--,6
24,00:00:30.234,00:00:13.00,0.02,--,--,0:20:58  ,0:09:01  ,0:05:34  ,61.734375,208.0,124.341203193695,159.0,168.0,--,7
25,00:00:32.211,00:00:29.00,0.07,--,--,0:08:04  ,0:07:16  ,0:04:16  ,159.9375,210.0,124.67616730730187,177.0,199.0,--,8
26,00:00:16.487,00:00:15.00,0.02,--,--,0:11:56  ,0:10:51  ,0:04:54  ,94.125,203.0,143.21075187335714,197.0,200.0,--,5
27,00:00:33.902,00:00:30.00,0.08,--,--,0:07:26  ,0:06:35  ,0:03:51  ,175.75,210.0,122.98522471821032,195.0,201.0,--,9
28,00:02:50.378,00:00:41.00,0.06,--,--,0:45:56  ,0:11:03  ,0:05:36  ,28.328125,203.0,123.61780145665794,167.0,202.0,--,40
Summary,00:37:45.644,00:23:29.00,1.95,66,73,0:19:20  ,0:12:01  ,0:03:14  ,72.1875,231.0,115.32390305172171,149.0,218.0,--,417
